,issue_no,created_at,closed_at,assignees_no,labels,closes_no,author_association,comments_no,title,url
0,1255,2022-02-10 18:33:02+00:00,2022-02-10 18:39:15+00:00,0,[],0,MEMBER,1.0,Release/v6.0.1,https://api.github.com/repos/cosmos/gaia/issues/1255
1,1254,2022-02-10 18:30:06+00:00,2022-02-15 14:34:23+00:00,0,['docs'],0,MEMBER,3.0,DOCS: Fix params broken links,https://api.github.com/repos/cosmos/gaia/issues/1254
2,1250,2022-02-10 09:36:48+00:00,2022-02-10 17:30:30+00:00,0,[],0,MEMBER,1.0,update deposit requirement to 64 atom,https://api.github.com/repos/cosmos/gaia/issues/1250
3,1245,2022-02-09 14:43:50+00:00,2022-02-10 17:29:53+00:00,0,['docs'],0,MEMBER,1.0,Fix Broken Links,https://api.github.com/repos/cosmos/gaia/issues/1245
4,1243,2022-02-08 15:37:47+00:00,2022-02-09 14:43:18+00:00,0,[],0,MEMBER,0.0,fixes to mainnet docs,https://api.github.com/repos/cosmos/gaia/issues/1243
5,1242,2022-02-08 15:29:31+00:00,2022-02-08 17:10:31+00:00,0,[],0,MEMBER,4.0,wrong Block.Header.LastResultsHash,https://api.github.com/repos/cosmos/gaia/issues/1242
6,1239,2022-02-07 15:59:18+00:00,2022-02-08 15:32:16+00:00,0,[],0,MEMBER,0.0,cosmos hub history,https://api.github.com/repos/cosmos/gaia/issues/1239
7,1237,2022-02-07 11:43:40+00:00,2022-02-09 11:02:15+00:00,1,['Support'],0,NONE,5.0,cant start node server,https://api.github.com/repos/cosmos/gaia/issues/1237
8,1236,2022-02-06 12:02:49+00:00,2022-02-06 14:53:55+00:00,0,[],0,MEMBER,0.0,Update outdated cli commands for tx bank send,https://api.github.com/repos/cosmos/gaia/issues/1236
9,1235,2022-02-04 21:24:14+00:00,2022-02-06 14:48:23+00:00,0,['docs'],0,MEMBER,0.0,Testnet docs feedback,https://api.github.com/repos/cosmos/gaia/issues/1235
