,issue_no,created_at,closed_at,assignees_no,labels,closes_no,author_association,comments_no,title,url
0,1266,2022-02-15 13:50:39+00:00,,1,[],0,MEMBER,0.0,Run github repo-analysis tool for start of sprint,https://api.github.com/repos/cosmos/gaia/issues/1266
1,1265,2022-02-15 12:36:34+00:00,,0,[],0,MEMBER,0.0,Register subdomains for cosmos hub history endpoints,https://api.github.com/repos/cosmos/gaia/issues/1265
2,1264,2022-02-15 08:27:21+00:00,,0,[],0,MEMBER,1.0,Create Archive Node Setup for Cosmos hub 4,https://api.github.com/repos/cosmos/gaia/issues/1264
3,1263,2022-02-15 07:45:13+00:00,,0,[],0,MEMBER,0.0,Setup Cosmos Hub container registry,https://api.github.com/repos/cosmos/gaia/issues/1263
4,1262,2022-02-15 07:30:50+00:00,,0,['Epic'],0,MEMBER,0.0,Infrastructure,https://api.github.com/repos/cosmos/gaia/issues/1262
5,1261,2022-02-15 07:27:55+00:00,,0,['Epic'],0,MEMBER,0.0,v7 Theta Release,https://api.github.com/repos/cosmos/gaia/issues/1261
6,1260,2022-02-15 07:23:57+00:00,,0,['Epic'],0,MEMBER,0.0,Security Enhancements,https://api.github.com/repos/cosmos/gaia/issues/1260
7,1259,2022-02-15 07:13:23+00:00,,0,['Epic'],0,MEMBER,0.0,Improving User Experience,https://api.github.com/repos/cosmos/gaia/issues/1259
8,1258,2022-02-14 13:20:57+00:00,,0,['Epic'],0,MEMBER,3.0,Pooltoy Enhancements,https://api.github.com/repos/cosmos/gaia/issues/1258
9,1257,2022-02-11 00:09:33+00:00,,0,[],0,CONTRIBUTOR,1.0,update to cosmos sdk v0.44.6,https://api.github.com/repos/cosmos/gaia/issues/1257
10,1256,2022-02-10 18:50:41+00:00,,0,[],0,MEMBER,0.0,chore: update changelog,https://api.github.com/repos/cosmos/gaia/issues/1256
11,1253,2022-02-10 15:07:09+00:00,,0,[],0,MEMBER,2.0,feat: e2e test suite,https://api.github.com/repos/cosmos/gaia/issues/1253
12,1252,2022-02-10 11:36:39+00:00,,1,[],0,MEMBER,3.0,release gaia v6.0.1,https://api.github.com/repos/cosmos/gaia/issues/1252
13,1251,2022-02-10 10:07:13+00:00,,0,"['dependencies', 'github_actions']",0,CONTRIBUTOR,0.0,Bump actions/setup-go from 2.1.5 to 2.2.0,https://api.github.com/repos/cosmos/gaia/issues/1251
14,1249,2022-02-09 23:21:13+00:00,,0,[],0,MEMBER,1.0,Initialize code analysis,https://api.github.com/repos/cosmos/gaia/issues/1249
15,1248,2022-02-09 18:58:34+00:00,,0,[],0,MEMBER,0.0,create end to end tests,https://api.github.com/repos/cosmos/gaia/issues/1248
16,1247,2022-02-09 18:57:30+00:00,,1,[],0,MEMBER,0.0,github actions cleanup,https://api.github.com/repos/cosmos/gaia/issues/1247
